Employee_ID,Full_Name,Department,Job_Title,Hire_Date,Performance,Experience,Status,Work_Mode,Salary,Year,Country,City,Age,Job_Level
EMP1024414,Juliusz Mikiciuk,HR,Talent Specialist,2022-10-25,Good,0,Active,On-site,47575.0,2022,Poland,Wroclaw,23,Junior
EMP0231309,Dr. Cathleen Heintze,IT,System Admin,2024-02-21,Good,7,Active,Remote,100579.0,2024,Germany,Hamburg,31,Mid
EMP0590176,Ingetraut Girschner,Operations,Operations Director,2022-10-29,Good,4,Active,On-site,78675.0,2022,Germany,Munich,27,Mid
EMP0013608,Marcial Cuesta Bermudez,Sales,Sales Manager,2012-01-18,Satisfactory,25,Active,On-site,227742.0,2012,Spain,Bilbao,50,Director
EMP0587743,Seve Gálvez Sáez,Finance,Financial Analyst,2012-06-04,Satisfactory,13,Active,Remote,149238.0,2012,Spain,Barcelona,42,Senior
EMP1957919,Marc Burns,Operations,Supply Chain,2023-05-23,Good,1,Active,On-site,43125.0,2023,United Kingdom,Manchester,23,Junior
EMP0661131,Rodolfo Branciforte,Sales,Sales Executive,2022-10-24,Satisfactory,7,Active,Hybrid,74705.0,2022,Italy,Turin,31,Mid
EMP0021339,Ryan Grant,Finance,Finance Manager,2025-10-07,Excellent,3,Active,On-site,50491.0,2025,United Kingdom,Edinburgh,27,Junior
EMP1615313,Alix Valette,Operations,Logistics,2024-04-28,Good,4,Active,On-site,73667.0,2024,France,Paris,33,Mid
EMP1677755,Salomé Iniesta-Crespo,Operations,Logistics,2021-08-16,Excellent,7,Active,On-site,81896.0,2021,Spain,Madrid,29,Mid
EMP0465097,Mr Philip Parker,Operations,Operations Director,2024-11-11,Good,1,Active,Hybrid,47636.0,2024,United Kingdom,Edinburgh,25,Junior
EMP0353587,Ms Alexandra Miles,Finance,Tax Specialist,2018-03-28,Satisfactory,15,Active,On-site,139500.0,2018,United Kingdom,Manchester,43,Senior
EMP0332626,Kathryn Khan,Sales,Sales Executive,2022-04-06,Good,4,Active,On-site,99491.0,2022,United Kingdom,Manchester,26,Mid
EMP1740322,Jane John,Sales,Sales Executive,2019-10-22,Good,3,Active,Remote,45144.0,2019,United Kingdom,London,25,Junior
EMP0638214,Dr Raymond Sims,IT,DevOps Engineer,2026-01-27,Good,0,Active,On-site,60148.0,2026,United Kingdom,Leeds,24,Junior
EMP1015317,Ricky Kaur,HR,HR Manager,2025-08-04,Good,2,Active,On-site,51171.0,2025,United Kingdom,Manchester,30,Junior
EMP1169091,Anthony Tucker,IT,IT Manager,2020-10-03,Satisfactory,8,Active,On-site,103559.0,2020,United Kingdom,Birmingham,33,Mid
EMP0185242,Silke Lindner,Operations,Supply Chain,2023-09-07,Excellent,2,Active,On-site,46709.0,2023,Germany,Berlin,26,Junior
EMP1110743,Hasan Schwital-Klapp,Finance,Financial Analyst,2008-03-24,Satisfactory,11,Active,Hybrid,154694.0,2008,Germany,Cologne,42,Senior
EMP0064442,Sig. Alessandro Serlupi,Operations,Operations Manager,2018-05-20,Good,15,Active,On-site,137181.0,2018,Italy,Venice,42,Senior
EMP1268895,Moisés del Colom,Finance,Financial Analyst,2008-03-24,Good,4,Active,Remote,93246.0,2008,Spain,Barcelona,38,Mid
EMP0610925,Tatiana Tafuri,Sales,Regional Lead,2014-09-22,Good,10,Active,On-site,154948.0,2014,Italy,Rome,37,Senior
EMP1778762,Abigaíl Zabaleta,IT,System Admin,2022-04-23,Good,1,Active,Remote,50768.0,2022,Spain,Valencia,28,Junior
EMP0407584,Rens van Laon-Blokland,IT,Data Engineer,2020-03-18,Satisfactory,1,Active,On-site,46458.0,2020,Netherlands,Rotterdam,26,Junior
EMP0920752,Rafael Girschner-Jacobi Jäckel,Sales,Regional Lead,2021-11-09,Good,6,Active,Remote,86860.0,2021,Germany,Hamburg,34,Mid
EMP0243105,Emmanuel Le Besson,Finance,Accountant,2013-07-17,Good,5,Active,On-site,96714.0,2013,France,Lyon,30,Mid
EMP0450933,Maurice Parker-Price,Operations,Supply Chain,2024-06-22,Excellent,3,Active,Hybrid,51037.0,2024,United Kingdom,Manchester,25,Junior
EMP1040108,Billy McCarthy,Operations,Logistics,2024-12-08,Good,2,Active,On-site,45106.0,2024,United Kingdom,Edinburgh,30,Junior
EMP0298920,Mathew Barber,Finance,Financial Analyst,2025-05-20,Good,1,Active,Remote,56198.0,2025,United Kingdom,Birmingham,29,Junior
EMP0225062,Mrs Stephanie Thompson,Sales,Business Development,2020-08-25,Satisfactory,3,Active,On-site,57627.0,2020,United Kingdom,Birmingham,28,Junior
EMP0196231,Hans-Christian Rosemann-Rädel,HR,HR Director,2023-03-30,Good,5,Active,On-site,62767.0,2023,Germany,Munich,31,Mid
EMP0636309,Ms Susan Barker,Finance,CFO,2022-02-01,Good,14,Active,Remote,135680.0,2022,United Kingdom,Edinburgh,36,Senior
EMP0457188,pan Krystian Peciak,Operations,Supply Chain,2021-11-16,Good,4,Active,Remote,81199.0,2021,Poland,Wroclaw,27,Mid
EMP1541322,Saskia Wiek,Operations,Operations Manager,2020-08-21,Excellent,16,Active,On-site,205871.0,2020,Germany,Frankfurt,40,Director
EMP1460076,Mathilde Charles,Operations,Operations Analyst,2017-12-04,Excellent,10,Active,Remote,141866.0,2017,France,Lyon,35,Senior
EMP1544272,Rhys Roberts,IT,DevOps Engineer,2025-03-14,Satisfactory,8,Active,On-site,87786.0,2025,United Kingdom,London,31,Mid
EMP1752939,Jill Read-Webb,IT,DevOps Engineer,2023-01-11,Good,1,Active,On-site,48567.0,2023,United Kingdom,Edinburgh,26,Junior
EMP0492743,Margarete Krein,Sales,Business Development,2012-11-07,NULL,20,Active,On-site,205394.0,2012,Germany,Berlin,44,Director
EMP0285009,Pauline Faulkner,Operations,Operations Analyst,2008-03-24,Good,6,Active,On-site,68217.0,2008,United Kingdom,London,34,Mid
EMP0004470,Luisa Galeati-Verga,IT,IT Manager,2022-07-28,Satisfactory,8,Active,On-site,86178.0,2022,Italy,Turin,30,Mid
EMP1066777,Lewis Taylor,IT,System Admin,2016-08-29,Excellent,-3,Active,On-site,142492.0,2016,United Kingdom,Edinburgh,35,Senior
EMP1948541,Gesche Trommler-Grein Groth,IT,Data Engineer,2025-04-30,Good,0,Active,Remote,53386.0,2025,Germany,Hamburg,25,Junior
EMP0020109,Monique Fernandes-Navarro,IT,IT Manager,2011-03-20,Satisfactory,3,Active,Remote,65194.0,2011,France,Toulouse,36,Junior
EMP0615046,Melchor Barrena Español,Sales,Business Development,2021-11-07,Good,15,Active,On-site,116953.0,2021,Spain,Seville,36,Senior
EMP1120193,Bibiana Jerez Salcedo,Operations,Logistics,2022-12-17,Good,1,Active,On-site,57873.0,2022,Spain,Madrid,29,Junior
EMP0033335,Loes van 't Wel-van Bunschoten,IT,System Admin,2026-01-09,Good,2,Active,On-site,56149.0,2026,Netherlands,The Hague,27,Junior
EMP0214124,Ottone Lucchesi-Pirandello,IT,IT Manager,2026-03-05,Good,3,Active,Hybrid,52556.0,2026,Italy,Milan,30,Junior
EMP1842184,Hugues Schneider,Sales,Sales Director,2008-03-24,Needs Improvement,24,Active,Remote,245533.0,2008,France,Paris,53,Director
EMP1305883,Georges Moulin,IT,Data Engineer,2025-07-05,Needs Improvement,1,Resigned,On-site,46584.0,2025,France,Toulouse,26,Junior
EMP0607320,Ian Woods,HR,Recruiter,2023-07-12,Satisfactory,5,Active,On-site,58718.0,2023,United Kingdom,Manchester,33,Mid
EMP1083682,Natalia Mühle B.Eng.,IT,Software Developer,2010-05-28,Excellent,7,Active,Remote,101971.0,2010,Germany,Frankfurt,37,Mid
EMP1026237,Gérard Chevallier,Finance,Finance Manager,2014-06-22,Satisfactory,1,Active,On-site,44693.0,2014,France,Nice,30,Junior
EMP0395976,Eric O'Donnell,IT,Data Engineer,2021-09-23,Satisfactory,8,Active,Remote,92565.0,2021,United Kingdom,London,31,Mid
EMP0893090,Nicole Jacques,Sales,Sales Executive,2011-07-24,Satisfactory,21,Active,On-site,209848.0,2011,France,Marseille,45,Director
EMP0862075,Lara Binaghi,Sales,Sales Executive,2010-06-05,Good,17,Active,On-site,248793.0,2010,Italy,Milan,47,Director
EMP1870194,Honoré Brunel,HR,HR Manager,2013-03-05,Good,14,Active,Hybrid,151747.0,2013,France,Marseille,43,Senior
EMP1440656,Dr Bryan Thompson,IT,IT Manager,2017-06-09,Needs Improvement,6,Active,Remote,89367.0,2017,United Kingdom,Edinburgh,30,Mid
EMP0071762,Marianne Blondel-Charrier,Sales,Sales Executive,2025-02-16,Good,0,Active,Remote,59418.0,2025,France,Marseille,27,Junior
EMP0535709,Jean Taylor,HR,HR Manager,2008-03-24,Good,8,Active,Hybrid,77305.0,2008,United Kingdom,Edinburgh,37,Mid
EMP0624156,Curt Niemeier,Sales,Sales Executive,2016-02-09,Good,13,Active,Remote,132724.0,2016,Germany,Berlin,42,Senior
EMP1331734,Leonardo Stiebitz-Schleich,HR,Recruiter,2015-12-24,Satisfactory,6,Active,On-site,61659.0,2015,Germany,Hamburg,36,Mid
EMP1924385,Stanley Edwards,Finance,Accountant,2025-08-10,Good,-2,Active,Remote,90272.0,2025,United Kingdom,Leeds,31,Mid
EMP0547368,Nigel Glover,Sales,Regional Lead,2024-01-03,Good,3,Active,On-site,41780.0,2024,United Kingdom,London,27,Junior
EMP1804804,Graciana Orozco-Morante,Operations,Supply Chain,2025-01-15,Good,2,Resigned,Hybrid,47916.0,2025,Spain,Barcelona,31,Junior
EMP1322117,Thierry Boyer,HR,Talent Specialist,2022-04-21,Good,6,Active,On-site,67072.0,2022,France,Paris,30,Mid
EMP1120635,Dr Declan Holland,Finance,CFO,2022-01-20,Excellent,7,Active,Hybrid,98197.0,2022,United Kingdom,London,31,Mid
EMP1483824,Manu David Amador Canales,IT,IT Manager,2025-05-29,Good,2,Active,On-site,47569.0,2025,Spain,Barcelona,30,Junior
EMP1863200,Bernardo Gaggini,HR,HR Director,2022-05-30,Satisfactory,1,Active,Hybrid,37096.0,2022,Italy,Naples,23,Junior
EMP1326532,Andrea Evans,HR,HR Manager,2025-01-10,Good,1,Terminated,On-site,44431.0,2025,United Kingdom,Edinburgh,27,Junior
EMP1146913,Dr Trevor Jones,Operations,Operations Analyst,2025-12-18,Good,1,Terminated,On-site,38004.0,2025,United Kingdom,Manchester,25,Junior
EMP0570072,Socorro Cabo,IT,Data Engineer,2023-12-24,Excellent,5,Active,Hybrid,77832.0,2023,Spain,Barcelona,28,Mid
EMP1810158,Adamo Donati,Sales,Sales Executive,2009-06-08,Excellent,3,Active,On-site,46658.0,2009,Italy,Rome,37,Junior
EMP1128464,Adela Torrent Francisco,Sales,Business Development,2008-03-24,Excellent,9,Active,Hybrid,123060.0,2008,Spain,Bilbao,42,Senior
EMP1048513,Dina de Vries,Operations,Operations Director,2020-05-29,Good,4,Active,On-site,93227.0,2020,Netherlands,Rotterdam,32,Mid
EMP1878382,Anette Stoll,Operations,Operations Manager,2019-09-17,Good,6,Active,On-site,78260.0,2019,Germany,Munich,34,Mid
EMP0754385,Nadine Salz,IT,IT Manager,2018-05-18,Excellent,7,Active,Hybrid,87409.0,2018,Germany,Frankfurt,29,Mid
EMP1160687,Jeffrey Ellis,Sales,Sales Director,2008-03-24,Satisfactory,12,Active,On-site,173501.0,2008,United Kingdom,Edinburgh,45,Senior
EMP0809814,Dott. Galasso Bignami,Finance,Financial Analyst,2025-02-27,Good,3,Active,On-site,52006.0,2025,Italy,Naples,23,Junior
EMP0334458,Eutropio Amores,Finance,Tax Specialist,2021-08-09,Good,3,Active,Remote,52051.0,2021,Spain,Valencia,26,Junior
EMP1479890,Mr Elliot Douglas,IT,IT Manager,2019-10-15,Needs Improvement,2,Active,On-site,45973.0,2019,United Kingdom,Edinburgh,29,Junior
EMP0790326,Dagmara Bialk,HR,Recruiter,2014-08-21,Good,6,Active,Remote,70059.0,2014,Poland,Krakow,31,Mid
EMP0084414,Jake King,Sales,Business Development,2024-03-13,Good,11,Active,Hybrid,136337.0,2024,United Kingdom,London,37,Senior
EMP0993216,Eugenia Armas Cañete,Sales,Regional Lead,2013-03-31,Good,11,Active,On-site,131498.0,2013,Spain,Barcelona,38,Senior
EMP1053625,Joel Wallace-Ellis,Sales,Sales Director,2024-05-01,Excellent,7,Active,On-site,84132.0,2024,United Kingdom,Leeds,29,Mid
EMP0741606,Elaine Wilkinson,IT,System Admin,2024-05-08,Needs Improvement,3,Active,Hybrid,64206.0,2024,United Kingdom,London,26,Junior
EMP1641120,Jeannine de Chrétien,Operations,Logistics,2022-07-15,Excellent,2,Active,On-site,-76532.0,2022,France,Marseille,25,Junior
EMP0872407,Margot Renault,Sales,Sales Director,2018-09-05,Excellent,7,Active,On-site,74645.0,2018,France,Paris,30,Mid
EMP1362293,Ruperto del Valderrama,IT,Software Developer,2024-11-27,Good,0,Active,Hybrid,47721.0,2024,Spain,Seville,23,Junior
EMP0829799,Fabian van Nimwegen-van de Biezenbos,Sales,Business Development,2008-03-24,Excellent,2,Active,Remote,52172.0,2008,Netherlands,Rotterdam,32,Junior
EMP0963173,Thomas O'Brien-Ellis,Sales,Sales Director,2019-08-19,Excellent,9,Active,Remote,127729.0,2019,United Kingdom,Birmingham,33,Senior
EMP0637752,Gema Hernando Tovar,Sales,Sales Manager,2019-10-14,Satisfactory,5,Active,Hybrid,83322.0,2019,Spain,Barcelona,28,Mid
EMP0574886,Nicola Scott-Foster,Operations,Supply Chain,2023-02-25,Satisfactory,8,Active,Remote,69635.0,2023,United Kingdom,Manchester,36,Mid
EMP0258942,Eileen Davies,Sales,Sales Manager,2022-04-21,Satisfactory,6,Active,On-site,90741.0,2022,United Kingdom,Leeds,33,Mid
EMP1155850,Aaron Storey,Sales,Sales Executive,2020-05-22,Satisfactory,4,Active,Remote,96345.0,2020,United Kingdom,Birmingham,27,Mid
EMP0745711,Ingeborg Häring-Karz,Sales,Sales Manager,2023-09-28,Satisfactory,4,Active,On-site,100059.0,2023,Germany,Munich,33,Mid
EMP1715501,Eleanor Butler,IT,IT Manager,2019-02-18,Satisfactory,2,Active,Remote,59350.0,2019,United Kingdom,Edinburgh,24,Junior
EMP0428349,Giuliana Doria,Sales,Sales Executive,2026-02-07,Good,0,Active,On-site,52739.0,2026,Italy,Milan,22,Junior
EMP0893512,Univ.Prof. Anna Ortmann,IT,System Admin,2023-07-31,Good,5,Active,Remote,85010.0,2023,Germany,Cologne,30,Mid
EMP0467097,Pénélope Leroux de Lebreton,HR,HR Manager,2025-03-27,Good,1,Active,Hybrid,42509.0,2025,France,Marseille,23,Junior
EMP1826652,Ricciotti Anichini,Sales,Business Development,2024-06-24,Good,0,Active,On-site,51390.0,2024,Italy,Turin,25,Junior
EMP0517266,Massimiliano Leonetti,IT,DevOps Engineer,2008-04-27,Good,21,Active,On-site,212198.0,2008,Italy,Milan,49,Director
EMP0454113,Piersanti Zanichelli,Operations,Operations Manager,2022-06-16,Good,1,Resigned,On-site,54854.0,2022,Italy,Rome,22,Junior
EMP0577705,Philippe Masson,IT,DevOps Engineer,2024-04-23,Satisfactory,3,Active,On-site,56786.0,2024,France,Lyon,28,Junior
EMP0248240,June Kelly-Kerr,HR,Recruiter,2021-04-06,Satisfactory,5,Active,On-site,75909.0,2021,United Kingdom,London,28,Mid
EMP0319791,Seth Cosman,Finance,Accountant,2023-04-24,Good,8,Active,On-site,109465.0,2023,Netherlands,Rotterdam,37,Mid
EMP0342721,Marc Mellor-Taylor,Finance,CFO,2025-03-17,Good,1,Active,On-site,45667.0,2025,United Kingdom,London,26,Junior
EMP1996736,Sig.ra Romina Aporti,Operations,Operations Director,2018-11-03,Satisfactory,11,Active,On-site,117912.0,2018,Italy,Milan,33,Senior
EMP1958115,Angelita Aguilar,Finance,Financial Analyst,2024-09-17,Excellent,4,Active,Remote,87477.0,2024,Spain,Barcelona,26,Mid
EMP1804639,José Ángel Galán Delgado,Operations,Operations Manager,2022-12-14,Good,4,Active,Remote,75128.0,2022,Spain,Bilbao,29,Mid
EMP0907493,Beth Hardy,Operations,Operations Director,2008-03-24,Satisfactory,6,Active,On-site,88325.0,2008,United Kingdom,Birmingham,31,Mid
EMP1348798,Dr Dean Armstrong,IT,Software Developer,2025-12-31,Good,5,Active,Remote,81738.0,2025,United Kingdom,London,30,Mid
EMP0598730,Nigel Burton,IT,Software Developer,2024-10-24,Excellent,1,Active,On-site,44970.0,2024,United Kingdom,Birmingham,27,Junior
EMP0639341,Natan Supernak,IT,Data Engineer,2021-10-18,Satisfactory,0,Active,Remote,55832.0,2021,Poland,Lodz,22,Junior
EMP0625106,Arnaude Delahaye,Sales,Sales Manager,2023-09-20,Good,10,Active,On-site,124730.0,2023,France,Toulouse,38,Senior
EMP1459891,Élisabeth Faure de la Leblanc,Sales,Business Development,2020-06-07,Good,6,Active,On-site,80324.0,2020,France,Nice,30,Mid
EMP0160831,Toni Hesse MBA.,Finance,Finance Manager,2020-05-04,Good,6,Active,Hybrid,105827.0,2020,Germany,Cologne,30,Mid
EMP1288149,Hans-Peter Kambs,Operations,Supply Chain,2020-02-29,Satisfactory,14,Active,Remote,129922.0,2020,Germany,Hamburg,40,Senior
EMP1697167,Isaías Rincón,Sales,Sales Manager,2025-11-03,Excellent,0,Active,Remote,54427.0,2025,Spain,Valencia,23,Junior
EMP0251885,Judith Allen,Sales,Sales Manager,2025-10-26,Satisfactory,2,Active,Remote,55159.0,2025,United Kingdom,London,29,Junior
EMP0036475,Sybille Hahn,IT,System Admin,2022-08-19,Good,3,Active,Remote,60550.0,2022,Germany,Hamburg,25,Junior
EMP0017333,Gavin Davis,IT,IT Manager,2025-08-18,Satisfactory,8,Active,Remote,83868.0,2025,United Kingdom,London,33,Mid
EMP0929104,David del Vidal,Sales,Sales Executive,2020-10-26,Good,8,Active,On-site,71669.0,2020,Spain,Seville,29,Mid
EMP1785222,Mr Alan Clements,Operations,Logistics,2021-05-13,Satisfactory,3,Resigned,On-site,52369.0,2021,United Kingdom,Manchester,26,Junior
EMP1810455,Goran Reichmann-Stoll,HR,Talent Specialist,2023-06-23,Excellent,9,Active,Remote,115639.0,2023,Germany,Hamburg,37,Senior
EMP0407053,Dr Callum Mitchell,Operations,Supply Chain,2019-01-10,Good,5,Active,Hybrid,89625.0,2019,United Kingdom,Edinburgh,30,Mid
EMP1270015,Dr Laura Waters,Finance,Financial Analyst,2024-11-16,Good,2,Active,On-site,49621.0,2024,United Kingdom,London,26,Junior
EMP0658137,Arkadiusz Miasik,Operations,Operations Manager,2019-02-13,Satisfactory,13,Active,Remote,132909.0,2019,Poland,Poznan,36,Senior
EMP1113558,Angelino Vila,HR,HR Coordinator,2015-02-10,Satisfactory,24,Active,On-site,180595.0,2015,Spain,Valencia,49,Director
EMP0234602,Dominique-Alice Potier,Finance,Financial Analyst,2008-03-24,Excellent,7,Active,On-site,89477.0,2008,France,Paris,35,Mid
EMP1031001,Mr Donald Cooper,Finance,Finance Manager,2021-04-13,Satisfactory,5,Active,On-site,94205.0,2021,United Kingdom,Edinburgh,30,Mid
EMP1604334,Nuran Fröhlich,IT,Software Developer,2023-06-10,Needs Improvement,10,Active,Hybrid,168893.0,2023,Germany,Berlin,37,Senior
EMP1830981,Sébastien Pascal Le Poulain,HR,HR Manager,2018-12-20,Good,10,Active,Hybrid,129077.0,2018,France,Nice,33,Senior
EMP0947076,Anouk-Catherine Caron,Sales,Regional Lead,2023-10-16,Good,11,Active,Remote,142032.0,2023,France,Toulouse,38,Senior
EMP0111372,Mrs Joanna Smith,Finance,Finance Manager,2024-03-06,Good,5,Active,Remote,86990.0,2024,United Kingdom,Edinburgh,26,Mid
EMP1296367,Sandra Migala,Finance,Accountant,2008-03-24,Good,6,Active,Remote,82506.0,2008,Poland,Lodz,37,Mid
EMP1976041,Ryan Clark,IT,IT Manager,2016-09-25,Excellent,8,Active,On-site,97113.0,2016,United Kingdom,Edinburgh,29,Mid
EMP1017502,Mia Brugman,Operations,Supply Chain,2022-06-06,Satisfactory,8,Active,On-site,84371.0,2022,Netherlands,Rotterdam,33,Mid
EMP0023550,Loni Jähn,Sales,Sales Executive,2024-08-30,Satisfactory,3,Active,On-site,52137.0,2024,Germany,Berlin,27,Junior
EMP0089326,Dulce Begoña Verdú Escrivá,Operations,Operations Manager,2022-07-25,Satisfactory,6,Active,Remote,84806.0,2022,Spain,Bilbao,34,Mid
EMP0524960,Agathe du Legros,IT,Data Engineer,2017-08-04,Good,4,Active,Hybrid,94403.0,2017,France,Paris,26,Mid
EMP0766653,Gabriel Pres,IT,DevOps Engineer,2022-03-29,Excellent,8,Active,On-site,102388.0,2022,Poland,Warsaw,30,Mid
EMP0365209,Noah Michiels-Dachgelt,Sales,Sales Executive,2024-11-18,Excellent,0,Active,On-site,61219.0,2024,Netherlands,Rotterdam,27,Junior
EMP0739743,Karl-Heinz Jessel,HR,HR Manager,2022-07-09,Excellent,4,Resigned,Remote,76052.0,2022,Germany,Hamburg,26,Mid
EMP1689764,Martine Winkler,HR,Talent Specialist,2016-06-23,Good,9,Active,On-site,123377.0,2016,Germany,Hamburg,33,Senior
EMP1276056,Rita Howard,IT,Software Developer,2009-04-27,Good,14,Active,On-site,147245.0,2009,United Kingdom,Birmingham,44,Senior
EMP0841434,Krystyna Wawrzyn,Sales,Sales Director,2019-12-15,Satisfactory,8,Active,On-site,78800.0,2019,Poland,Poznan,34,Mid
EMP1260767,Mijo Gierschner B.Sc.,IT,System Admin,2024-09-18,Good,2,Active,On-site,46860.0,2024,Germany,Hamburg,31,Junior
EMP1334093,Jérôme Masson du Guibert,Sales,Sales Manager,2013-05-28,Good,26,Resigned,On-site,250113.0,2013,France,Toulouse,51,Director
EMP0057588,John Hill,HR,HR Coordinator,2023-03-16,Satisfactory,8,Active,On-site,75858.0,2023,United Kingdom,Birmingham,33,Mid
EMP1969391,Sébastien Antoine,Finance,Finance Manager,2023-01-18,Good,9,Active,Hybrid,126627.0,2023,France,Nice,33,Senior
EMP0799146,Reece Barnes,Sales,Regional Lead,2023-01-10,Good,0,Active,Remote,40888.0,2023,United Kingdom,London,26,Junior
EMP1509138,Inmaculada Teresita Pozuelo Acevedo,HR,Recruiter,2022-10-08,Good,6,Active,Remote,73226.0,2022,Spain,Seville,32,Mid
EMP0676336,Gottlieb Adolph-Hein,Sales,Sales Executive,2020-07-28,Good,8,Active,Remote,80599.0,2020,Germany,Frankfurt,32,Mid
EMP1251854,Karina Machowiak,Sales,Sales Executive,2016-07-31,Satisfactory,5,Active,On-site,74875.0,2016,Poland,Wroclaw,28,Mid
EMP1078218,Jodie Williams,Finance,Financial Analyst,2020-01-21,Satisfactory,13,Active,On-site,146626.0,2020,United Kingdom,London,38,Senior
EMP1788475,Ole Bauer,Finance,Finance Manager,2022-07-11,Satisfactory,3,Resigned,Remote,51283.0,2022,Germany,Cologne,27,Junior
EMP1472739,Holly Foster,Sales,Sales Manager,2024-07-26,Excellent,3,Active,Hybrid,59054.0,2024,United Kingdom,Edinburgh,25,Junior
